"","V1","V2"
"145",443.31527811461,110.74381826606
"146",448.58190424179,111.183482221653
"147",445.036482854721,111.912963659595
"148",440.9561464607,112.373075825487
"149",440.83294325366,113.644840480386
"150",438.134460707403,113.837372052342
"151",438.973084784903,113.827672681514
"152",441.344437120225,113.738463147635
"153",446.90800845085,114.091403327043
"154",439.472004249318,114.786640305746
"155",439.253705262764,115.096333959465
"156",439.797375847677,114.711176201793
"157",439.569224194482,115.600883043114
"158",438.320446592149,116.581947059579
"159",439.992286875703,116.386648637684
"160",442.88510379833,116.275290087772
"161",457.180531778348,116.218763930466
"162",442.514507302757,116.992865625395
"163",443.160861299465,116.649896369058
"164",443.468348478641,117.017449619224
"165",443.568193433316,117.583214652351
"166",440.08174862291,118.731159505177
"167",442.246798980141,118.800602915207
"168",443.30462089225,118.950663881236
"169",443.943882082098,119.034373335865
"170",443.080403449105,119.228637717058
"171",475.986312412748,143.276013970933
"172",437.959176984474,147.626373140466
"173",485.984143301354,150.044032093346
"174",441.0256634203,161.804744761296
"175",433.561751857957,95.2492763760722
"176",464.889083645282,100.173916729725
"177",465.85725004759,101.640856645861
"178",438.582290005147,112.392767003829
"179",440.803389871002,112.533836380787
"180",441.375099910515,112.312534296512
"181",441.490196276664,112.363018807814
"182",440.693931606573,113.093919868207
"183",441.616506919007,112.649592995852
"184",440.157753790704,113.529369319881
"185",467.309213452249,113.6409728833
"186",442.562982274194,114.089197038299
"187",435.8766312259,114.209729439322
"188",442.021012715854,114.221911058504
"189",444.194756214133,114.318939995578
"190",438.938497466127,115.04262543735
"191",439.814331710314,115.023683607438
"192",440.682006489228,114.727127791009
"193",440.98004878077,114.662891195597
"194",443.128554324595,115.119688636483
"195",441.199954915883,115.412535771354
"196",441.096300435228,115.447729640965
"197",442.229689370117,115.360367004502
"198",441.171222350302,115.961039185383
"199",442.040686290221,116.126159455603
"200",441.662261908849,116.590612129982
"201",443.089633487024,116.594306486285
"202",441.87918322461,116.696817682915
"203",442.051872945599,116.653262740093
"204",442.482720842909,116.929494320623
"205",442.868674111877,116.820558299519
"206",443.175541823239,116.749865645984
"207",442.882789693282,116.937652494501
"208",442.098265019803,117.252698217611
"209",442.434551097428,118.106970251164
"210",442.911796590405,118.079792792652
"211",444.923886992711,117.946279456698
"212",442.564958082254,118.580146551224
"213",442.844937912862,118.397700315317
"214",441.759549544634,119.152665068138
"215",446.753437086566,119.215683200838
"216",449.702612216792,119.910638187173
"217",442.338672206479,120.386386528354
"218",476.984225308963,128.718393094115
"219",434.436425873286,144.554761858283
"220",439.710947711927,146.994148889998
"221",444.724551028198,148.560279668168
"222",463.201343085476,161.661501218075
"223",422.310727879962,95.0846870229336
"224",451.511503655089,107.003748183696
"225",440.445618443283,109.488000605231
"226",438.929159533324,109.673893941891
"227",448.744293952685,109.868128515872
"228",451.149137924982,110.618824346665
"229",443.576290822563,112.060126125672
"230",452.640577719755,112.084844515518
"231",453.179960188897,111.85823604986
"232",446.565456222136,113.103806280507
"233",441.414263184041,113.477480723382
"234",442.033075005722,113.394398170266
"235",443.568113404767,113.905257067968
"236",450.478878714469,113.984709940011
"237",444.682818460603,114.234649508469
"238",447.753244560303,114.487591604445
"239",448.396552147785,114.643347363662
"240",448.865391601551,114.197356345108
"241",439.297280541131,114.909094597072
