"","V1","V2"
"164",475.728048107883,126.022778748759
"165",477.918126968676,128.155574209548
"166",471.763991529873,124.183307534261
"167",474.068070813424,124.409023929182
"168",410.667323293318,121.384360405836
"169",406.023296236064,116.686460980036
"170",480.505823378284,157.264247689238
"171",428.990725975439,99.6995250517645
"172",434.516778775361,97.5931716284386
"173",469.970313973734,110.525721343523
"174",429.369572224226,117.701889167905
"175",472.147122779606,115.406502317218
"176",467.610170631642,115.60933489359
"177",469.818140900619,114.154526823415
"178",424.944685222402,141.552620951929
"179",426.952260167822,139.67907921397
"180",482.372201487817,137.138527836775
"181",484.238127721178,135.844093863257
"182",433.868289770339,144.098021211138
"183",444.657013561574,99.9313051015898
"184",441.777462798367,101.747772321074
"185",463.424462382414,163.331925249934
"186",466.924544836619,106.859179440122
