"","V1","V2","V3"
"721",564,431,430
"722",214,432,196
"723",432,166,433
"724",166,167,435
"725",433,166,434
"726",282,436,162
"727",434,162,436
"728",162,434,435
"729",166,435,434
"730",439,280,456
"731",434,445,443
"732",457,446,458
"733",443,308,433
"734",440,442,438
"735",443,444,308
"736",280,439,282
"737",440,439,437
"738",446,442,440
"739",440,438,445
"740",441,442,446
"741",441,446,457
"742",446,440,437
"743",444,442,450
"744",434,443,433
"745",443,438,444
"746",438,442,444
"747",442,441,450
"748",440,445,436
"749",443,445,438
"750",437,448,446
"751",400,458,448
"752",441,457,452
"753",444,454,430
"754",456,448,437
"755",400,459,458
"756",711,638,710
"757",485,526,530
"758",451,450,441
"759",444,450,447
"760",451,441,452
"761",507,590,512
"762",449,459,461
"763",452,462,630
"764",452,629,451
"765",462,452,568
"766",447,451,455
"767",564,454,314
"768",453,314,455
"769",314,454,455
"770",439,456,437
"771",566,280,404
"772",458,446,448
"773",452,457,449
"774",459,400,406
"775",457,458,449
"776",710,461,459
"777",449,458,459
"778",638,636,567
"779",267,576,578
"780",710,459,406
"781",461,460,462
"782",525,527,532
"783",686,528,687
"784",763,762,453
"785",570,316,751
"786",569,464,317
"787",570,464,463
"788",140,465,139
"789",465,70,204
"790",467,325,322
"791",323,466,326
"792",479,572,476
"793",465,571,139
"794",163,468,204
"795",324,468,161
"796",330,469,325
"797",471,332,470
"798",477,481,480
"799",575,721,63
"800",332,471,329
"801",471,470,472
"802",475,472,470
"803",573,678,479
"804",475,480,473
"805",489,482,574
"806",473,478,475
"807",478,482,683
"808",694,480,475
"809",478,476,472
"810",478,472,475
"811",476,474,479
"812",587,694,332
"813",723,696,589
"814",482,478,473
"815",474,476,478
"816",573,479,474
"817",678,139,679
"818",694,475,470
"819",477,502,481
"820",483,481,248
"821",473,480,481
"822",574,482,473
"823",577,576,269
"824",483,248,253
"825",574,483,338
"826",760,585,688
"827",523,526,485
"828",504,496,495
"829",521,522,498
"830",170,298,580
"831",408,624,617
"832",113,562,628
"833",113,628,299
"834",489,62,63
"835",345,488,338
"836",482,489,63
"837",338,488,489
"838",499,253,248
"839",344,492,494
"840",249,239,491
"841",492,491,239
"842",493,492,239
"843",492,490,494
"844",241,493,239
"845",225,253,584
"846",497,495,496
"847",344,494,339
"848",506,695,518
"849",511,505,509
"850",497,494,490
"851",501,503,504
"852",490,499,497
"853",497,499,500
"854",508,514,504
"855",515,723,592
"856",499,490,584
"857",500,499,248
"858",502,248,481
"859",513,508,495
"860",507,512,511
"861",339,503,505
"862",513,502,477
"863",248,502,500
"864",504,503,496
"865",505,503,501
"866",508,504,495
"867",498,501,504
"868",509,505,501
"869",341,754,245
"870",513,500,502
"871",332,751,588
"872",509,501,510
"873",510,507,509
"874",513,495,500
"875",514,508,506
"876",510,501,498
"877",511,509,507
"878",498,514,521
"879",507,510,520
"880",523,590,520
"881",511,245,754
"882",512,485,585
"883",511,512,586
"884",587,513,477
"885",506,508,513
"886",518,696,516
"887",504,514,498
"888",527,535,532
"889",516,521,514
"890",518,516,506
"891",516,515,519
"892",517,520,591
"893",738,687,528
"894",513,587,695
"895",588,697,518
"896",675,699,741
"897",520,522,591
"898",522,510,498
"899",523,520,517
"900",516,519,521
"901",521,519,522
"902",522,519,524
"903",520,510,522
"904",527,526,523
"905",590,485,512
"906",698,515,592
"907",759,634,676
"908",525,526,527
"909",633,631,632
"910",527,523,517
"911",530,526,525
"912",594,517,591
"913",451,629,453
"914",530,531,528
"915",686,687,685
"916",634,630,632
"917",737,720,674
"918",531,530,525
"919",530,528,689
"920",536,525,532
"921",536,531,525
"922",535,527,594
"923",529,534,536
"924",519,698,524
"925",535,671,532
"926",460,635,633
"927",728,725,701
"928",594,527,517
"929",535,533,671
"930",529,536,532
"931",536,534,720
"932",45,537,44
"933",756,537,352
"934",538,351,539
"935",352,538,756
"936",539,351,704
"937",752,539,362
"938",349,355,540
"939",538,540,355
"940",353,541,350
"941",48,360,541
"942",361,542,257
"943",362,702,703
"944",268,543,271
"945",691,543,267
"946",596,599,544
"947",601,603,120
"948",2,3,545
"949",545,3,546
"950",548,546,3
"951",549,546,548
"952",271,547,152
"953",365,545,547
"954",549,5,131
"955",3,4,548
"956",152,546,549
"957",372,550,373
"958",422,606,550
"959",610,551,611
"960",551,610,609
"961",283,553,280
"962",395,103,552
"963",200,553,284
"964",337,582,583
"965",402,554,618
"966",558,106,626
"967",624,486,337
"968",556,558,555
"969",555,105,556
"970",626,625,557
"971",106,558,556
"972",557,555,558
"973",560,559,373
"974",418,559,419
"975",561,560,371
"976",559,560,419
"977",184,561,371
"978",561,203,753
"979",143,611,613
"980",426,423,424
"981",423,563,424
"982",431,564,317
"983",454,564,430
"984",630,565,629
"985",592,699,698
"986",448,566,400
"987",280,566,456
"988",618,623,411
"989",648,647,593
"990",449,568,452
"991",461,462,568
"992",761,569,314
"993",464,569,463
"994",464,570,321
"995",589,570,463
"996",326,467,571
"997",679,467,479
"998",476,572,322
"999",479,467,572
"1000",683,721,740
"1001",678,680,681
"1002",481,574,473
"1003",489,574,338
"1004",64,573,684
"1005",721,575,740
"1006",578,576,484
"1007",690,577,269
"1008",336,579,182
"1009",673,674,534
"1010",543,691,364
"1011",335,579,336
"1012",722,577,690
