"","V1","V2","V3"
"668",328,492,524
"669",206,343,520
"670",342,390,521
"671",71,396,438
"672",205,426,464
"673",151,62,479
"674",463,213,482
"675",276,365,507
"676",194,517,518
"677",326,456,534
"678",188,177,488
"679",12,159,460
"680",148,21,467
"681",423,228,463
"682",306,417,602
"683",341,338,484
"684",26,27,473
"685",345,19,440
"686",324,325,509
"687",172,175,517
"688",350,495,508
"689",257,259,501
"690",16,342,442
"691",329,415,525
"692",407,358,508
"693",358,351,508
"694",76,154,512
"695",328,491,492
"696",350,347,494
"697",268,282,493
"698",482,213,513
"699",490,323,492
"700",175,188,517
"701",194,172,517
"702",264,233,451
"703",209,222,513
"704",398,275,507
"705",351,350,508
"706",498,155,511
"707",447,448,598
"708",77,76,512
"709",24,25,529
"710",354,220,464
"711",423,463,482
"712",403,402,591
"713",344,283,571
"714",275,276,507
"715",177,179,488
"716",404,345,522
"717",493,282,505
"718",289,326,534
"719",253,239,476
"720",448,461,598
"721",491,490,492
"722",496,495,600
"723",62,61,479
"724",448,264,449
"725",397,460,589
"726",285,559,571
"727",483,183,545
"728",413,133,593
"729",564,535,592
"730",382,333,526
"731",327,140,481
"732",278,316,515
"733",411,410,532
"734",416,305,558
"735",424,423,550
"736",325,501,502
"737",309,328,524
"738",171,192,496
"739",330,454,528
"740",343,211,525
"741",480,355,541
"742",58,4,567
"743",186,180,546
"744",2,44,568
"745",482,513,515
"746",152,26,473
"747",461,561,598
"748",381,318,537
"749",406,512,533
"750",29,1,563
"751",3,43,565
"752",559,404,571
"753",442,342,521
"754",299,353,556
"755",473,441,536
"756",479,157,575
"757",1,7,563
"758",59,3,565
"759",4,80,567
"760",395,447,598
"761",28,2,568
"762",211,489,525
"763",353,384,554
"764",282,471,579
"765",349,356,551
"766",170,194,549
"767",391,339,523
"768",469,511,594
"769",489,329,525
"770",460,159,589
"771",430,429,601
"772",133,413,562
"773",290,295,560
"774",516,313,534
"775",155,24,529
"776",183,184,570
"777",222,278,515
"778",176,187,566
"779",339,337,523
"780",537,318,599
"781",415,330,528
"782",444,443,587
"783",507,365,552
"784",356,397,589
"785",511,371,594
"786",459,458,548
"787",390,474,521
"788",302,520,531
"789",410,406,532
"790",513,222,515
"791",368,374,552
"792",361,362,574
"793",343,525,531
"794",386,370,596
"795",536,576,583
"796",353,554,556
"797",337,303,417
"798",295,532,581
"799",187,496,600
"800",291,500,569
"801",285,287,559
"802",517,188,519
"803",501,277,502
"804",487,378,553
"805",313,289,534
"806",470,503,579
"807",191,487,553
"808",455,151,578
"809",554,332,556
"810",332,296,556
"811",532,406,533
"812",385,380,535
"813",525,415,531
"814",560,295,581
"815",433,354,464
"816",520,343,531
"817",291,569,585
"818",437,162,563
"819",163,436,565
"820",187,497,566
"821",155,529,543
"822",429,198,601
"823",459,548,560
"824",311,232,419
"825",133,69,593
"826",543,529,577
"827",418,392,592
"828",151,526,578
"829",360,539,540
"830",494,497,600
"831",157,436,542
"832",480,160,567
"833",194,518,573
"834",161,441,568
"835",515,316,550
"836",503,505,579
"837",193,483,544
"838",512,154,533
"839",471,470,579
"840",400,401,582
"841",154,459,533
"842",458,457,548
"843",180,178,546
"844",503,470,594
"845",378,407,553
"846",430,537,599
"847",411,295,585
"848",402,400,582
"849",295,291,585
"850",482,515,550
"851",375,306,602
"852",221,432,433
"853",355,405,541
"854",511,155,543
"855",371,503,594
"856",309,524,538
"857",337,417,523
"858",497,187,600
"859",168,170,549
"860",193,544,584
"861",423,482,550
"862",383,332,554
"863",544,510,584
"864",348,349,551
"865",159,446,589
"866",409,499,542
"867",543,386,596
"868",431,430,599
"869",287,474,559
"870",377,375,558
"871",506,191,553
"872",392,162,564
"873",529,152,577
"874",404,522,571
"875",546,178,566
"876",508,495,555
"877",424,550,595
"878",296,299,556
"879",160,58,567
"880",44,161,568
"881",535,380,592
"882",162,29,563
"883",43,163,565
"884",348,551,587
"885",510,388,584
"886",576,387,583
"887",365,368,552
"888",386,543,577
"889",168,549,588
"890",198,197,573
"891",336,403,572
"892",277,398,539
"893",407,508,555
"894",528,333,590
"895",178,176,566
"896",390,404,559
"897",548,326,560
"898",326,290,560
"899",396,133,561
"900",7,437,563
"901",436,59,565
"902",80,480,567
"903",441,28,568
"904",484,348,587
"905",473,536,583
"906",316,510,595
"907",283,285,571
"908",333,302,590
"909",577,152,583
"910",514,431,599
"911",500,331,569
"912",325,502,574
"913",569,384,585
"914",184,376,570
"915",302,531,590
"916",399,387,576
"917",539,398,540
"918",487,418,592
"919",69,68,593
"920",499,382,575
"921",403,509,572
"922",413,393,562
"923",393,395,562
"924",166,168,588
"925",584,388,597
"926",402,538,591
"927",502,277,539
"928",459,560,581
"929",488,193,584
"930",380,487,592
"931",509,325,574
"932",470,469,594
"933",370,371,596
"934",505,282,579
"935",532,533,581
"936",495,494,600
"937",188,488,597
"938",371,511,596
"939",536,369,576
"940",531,415,590
"941",395,561,562
"942",318,514,599
"943",533,459,581
"944",152,473,583
"945",576,369,586
"946",392,564,592
"947",524,334,591
"948",474,390,559
"949",538,524,591
"950",415,528,590
"951",519,188,597
"952",157,542,575
"953",542,499,575
"954",488,584,597
"955",550,316,595
"956",561,133,562
"957",510,544,595
"958",538,402,582
"959",511,543,596
"960",399,576,586
"961",198,537,601
"962",377,558,580
"963",558,305,580
"964",537,430,601
"965",561,395,598
"966",362,509,574
"967",401,538,582
"968",544,424,595
"969",509,362,572
"970",310,52,335
"971",56,292,296
"972",181,182,184
"973",223,226,227
"974",136,37,190
"975",37,189,190
"976",161,45,369
"977",45,366,369
"978",47,142,147
"979",146,47,147
"980",142,48,280
"981",48,260,280
"982",50,137,270
"983",258,50,270
"984",137,51,322
"985",51,310,322
"986",52,185,335
"987",185,53,238
"988",53,235,238
"989",54,143,272
"990",235,54,272
"991",143,55,145
"992",55,144,145
"993",144,56,296
"994",147,142,294
"995",142,280,294
"996",272,143,288
"997",144,296,332
"998",288,145,383
"999",145,332,383
"1000",183,181,184
"1001",224,223,227
"1002",238,235,314
"1003",235,272,314
"1004",288,383,557
"1005",389,288,557
"1006",292,293,299
"1007",296,292,299
"1008",322,310,336
"1009",310,335,336
"1010",314,389,547
"1011",401,314,547
"1012",374,427,552
"1013",425,376,466
"1014",376,425,570
"1015",420,425,466
"1016",427,428,552
"1017",608,841,801
"1018",756,826,736
"1019",606,944,780
"1020",825,866,606
"1021",780,825,606
"1022",612,874,769
"1023",806,899,800
"1024",769,896,612
"1025",630,634,109
"1026",826,866,825
"1027",637,891,641
"1028",631,635,82
"1029",782,794,614
"1030",109,634,110
"1031",813,948,808
"1032",808,899,806
"1033",82,635,81
"1034",609,882,777
"1035",622,829,820
"1036",930,948,813
"1037",777,915,609
"1038",781,858,773
"1039",756,958,826
"1040",639,891,637
"1041",725,858,781
"1042",655,879,813
"1043",841,902,801
"1044",886,894,881
"1045",822,904,617
"1046",794,817,614
"1047",652,816,650
"1048",734,857,740
"1049",813,816,655
"1050",836,945,835
"1051",614,843,782
"1052",784,786,785
"1053",685,903,839
"1054",637,641,640
"1055",622,908,829
"1056",750,945,836
"1057",811,923,814
"1058",926,951,607
"1059",736,826,738
"1060",780,944,787
"1061",630,636,634
"1062",860,912,628
"1063",876,906,755
"1064",786,912,860
"1065",921,952,776
"1066",783,855,610
"1067",862,943,623
"1068",755,946,876
"1069",776,952,775
"1070",607,951,889
"1071",729,785,760
"1072",801,918,608
"1073",631,851,635
"1074",655,816,652
"1075",814,927,811
"1076",610,854,783
"1077",786,929,785
"1078",617,898,822
"1079",885,943,862
"1080",847,926,893
"1081",775,857,734
"1082",781,906,725
"1083",707,784,721
"1084",904,911,617
"1085",946,964,783
"1086",820,852,622
"1087",768,911,904
"1088",839,928,685
"1089",637,640,626
"1090",784,785,721
"1091",797,818,807
"1092",674,830,619
"1093",827,828,709
"1094",816,818,650
"1095",610,963,842
"1096",738,825,819
"1097",819,848,738
"1098",855,963,610
"1099",893,926,607
"1100",710,827,709
"1101",638,943,639
"1102",740,857,856
"1103",823,824,743
"1104",783,964,855
"1105",861,862,615
"1106",777,882,746
"1107",625,886,822
"1108",727,878,726
"1109",743,824,763
"1110",773,954,781
"1111",611,857,840
"1112",721,785,729
"1113",625,894,886
"1114",714,823,743
"1115",21,915,854
"1116",909,922,759
"1117",851,933,828
"1118",805,949,937
"1119",779,915,777
"1120",706,836,835
"1121",656,796,791
"1122",656,797,796
"1123",746,878,727
"1124",764,821,744
"1125",830,831,619
"1126",668,847,616
"1127",761,922,909
"1128",787,944,118
"1129",841,935,817
"1130",656,818,797
"1131",692,849,698
"1132",738,826,825
"1133",639,943,885
"1134",128,843,127
"1135",807,818,816
"1136",626,640,130
"1137",127,843,614
"1138",647,835,685
"1139",817,902,841
"1140",819,869,848
"1141",611,840,16
"1142",765,838,730
"1143",627,931,908
"1144",656,791,646
"1145",937,949,704
"1146",828,931,851
"1147",684,784,707
"1148",800,925,806
"1149",118,939,787
"1150",797,806,803
"1151",881,894,633
"1152",691,849,692
"1153",797,803,796
"1154",709,830,674
"1155",630,638,636
"1156",762,852,820
"1157",610,842,23
"1158",748,903,750
"1159",821,904,822
"1160",844,850,14
"1161",718,788,748
"1162",846,856,850
"1163",846,850,844
"1164",745,757,756
"1165",113,767,629
"1166",744,821,745
"1167",885,890,639
"1168",839,903,788
"1169",124,608,123
"1170",669,865,667
"1171",672,865,669
"1172",879,930,813
"1173",849,869,698
"1174",634,947,132
"1175",646,791,644
"1176",645,835,647
"1177",701,867,703
"1178",827,829,828
"1179",770,874,612
"1180",745,756,737
"1181",735,878,776
"1182",619,831,84
"1183",120,770,612
"1184",635,950,7
"1185",730,838,728
"1186",837,890,885
"1187",618,843,128
"1188",681,868,708
"1189",857,952,840
"1190",124,841,608
"1191",705,847,668
"1192",832,909,693
"1193",19,609,20
"1194",782,843,642
"1195",608,880,123
"1196",712,823,714
"1197",629,956,789
"1198",822,898,625
"1199",606,866,116
"1200",636,637,626
"1201",908,931,829
"1202",820,829,827
"1203",941,942,845
"1204",123,880,122
"1205",865,872,667
"1206",23,842,24
"1207",17,603,18
"1208",122,605,121
"1209",716,871,735
"1210",659,875,661
"1211",875,901,900
"1212",114,767,113
"1213",746,882,776
"1214",854,915,779
"1215",115,866,621
"1216",797,807,806
"1217",682,864,680
"1218",15,611,16
"1219",120,612,119
"1220",824,940,763
"1221",694,853,759
"1222",871,878,735
"1223",738,848,713
"1224",620,860,25
"1225",12,604,13
"1226",117,606,116
"1227",603,747,18
"1228",679,868,681
"1229",605,790,771
"1230",745,758,757
"1231",125,841,124
"1232",846,883,856
"1233",752,914,912
"1234",15,850,611
"1235",130,640,129
"1236",26,860,628
"1237",856,857,611
"1238",22,610,23
"1239",26,628,27
"1240",131,626,130
"1241",645,646,644
"1242",796,798,794
"1243",796,803,798
"1244",850,856,611
"1245",650,818,648
"1246",791,796,794
"1247",644,791,782
"1248",676,877,711
"1249",8,627,9
"1250",648,656,646
"1251",790,792,771
"1252",643,645,644
"1253",113,629,112
"1254",848,869,849
"1255",647,648,646
"1256",807,808,806
"1257",127,614,126
"1258",605,771,770
"1259",753,863,696
"1260",793,801,799
"1261",645,647,646
"1262",649,650,648
"1263",754,765,730
"1264",735,776,775
"1265",648,818,656
"1266",716,735,734
"1267",828,830,709
"1268",739,827,710
"1269",838,839,788
"1270",735,775,734
"1271",790,793,792
"1272",702,811,699
"1273",754,781,765
"1274",696,863,690
"1275",678,716,715
"1276",651,652,650
"1277",728,788,718
"1278",689,853,694
"1279",728,838,788
