"","X","Y"
"332",9.6728204,45.692341
"333",9.6714192,45.6912598
"334",9.6778994,45.6944485
"335",9.6769919,45.6940945
"336",9.6829481,45.696252
"337",9.681064,45.6949245
"338",9.6798976,45.6947514
"339",9.6787176,45.6945734
"340",9.6822613,45.6941796
"341",9.6456451,45.6892065
"342",9.6431448,45.6891978
"343",9.655995,45.6889767
"344",9.6561558,45.6889683
"345",9.6555938,45.6891734
"346",9.6521057,45.6891372
"347",9.6313456,45.6903831
"348",9.6311878,45.6903979
"349",9.6571245,45.6910038
"350",9.6572386,45.6916386
"351",9.6573772,45.6924039
"352",9.6570743,45.6907985
"353",9.6569258,45.6902168
"354",9.6572428,45.6908866
"355",9.6584263,45.6907435
"356",9.6583595,45.6915852
"357",9.6619156,45.6918848
"358",9.6594815,45.6923312
"359",9.6556489,45.6924108
"360",9.6556202,45.6912368
"361",9.6589766,45.6909478
"362",9.6568816,45.6901938
"363",9.6560896,45.6892504
"364",9.6596433,45.6897513
"365",9.6592223,45.6900544
"366",9.6637251,45.6923227
"367",9.6625804,45.6910446
"368",9.6624162,45.6908593
"369",9.6618701,45.6902459
"370",9.657031,45.6848323
"371",9.6558614,45.6835177
"372",9.6556741,45.6833142
"373",9.6457837,45.6754741
"374",9.6755326,45.6711525
"375",9.6781872,45.672339
"376",9.6780007,45.6725428
"377",9.678002,45.6728541
"378",9.6764076,45.67147
"379",9.6772334,45.6718712
"380",9.6844741,45.6855854
"381",9.6880324,45.6884522
"382",9.690405,45.6911521
"383",9.6937629,45.6956964
"384",9.6938867,45.7064775
"385",9.6934225,45.7068735
"386",9.6738786,45.6793617
"387",9.674993,45.6800243
"388",9.6786207,45.6822422
"389",9.6789196,45.6823969
"390",9.6749983,45.6785145
"391",9.6749961,45.6783361
"392",9.6748294,45.6780042
"393",9.6747736,45.6791948
"394",9.6946013,45.7062054
"395",9.6959598,45.7072449
"396",9.6947034,45.7092703
"397",9.6740329,45.673461
"398",9.6741359,45.6734954
"399",9.6739716,45.6736415
"400",9.6743335,45.6732472
"401",9.6743558,45.6731214
"402",9.6745108,45.6724854
"403",9.6761732,45.6716699
"404",9.6770327,45.6720814
"405",9.6777749,45.6724326
"406",9.6788947,45.6730102
"407",9.6938667,45.695854
"408",9.6725397,45.676909
"409",9.6732496,45.6772035
"410",9.6960419,45.7073852
"411",9.6959149,45.7080443
"412",9.6717812,45.7042899
"413",9.671101,45.7047652
"414",9.6539052,45.6991557
"415",9.6542213,45.6994842
"416",9.6649595,45.6761595
"417",9.6664396,45.6759122
"418",9.6686922,45.6755275
"419",9.669193,45.6756891
"420",9.6696144,45.6759616
"421",9.669897,45.6763888
"422",9.6722464,45.6783876
"423",9.6658243,45.6761841
"424",9.6677852,45.6759601
"425",9.6693737,45.6774297
"426",9.6680112,45.6770856
"427",9.6712507,45.6774008
"428",9.6779951,45.7013175
"429",9.6780084,45.7013504
"430",9.6763297,45.707736
"431",9.6776237,45.7080209
"432",9.6783364,45.7081544
"433",9.6785923,45.7082091
"434",9.6789123,45.7083196
"435",9.6910538,45.7075208
"436",9.6907975,45.7078165
"437",9.6842151,45.7119998
"438",9.6821584,45.7121042
"439",9.6684626,45.7131127
"440",9.6691994,45.712669
"441",9.6774256,45.7061198
"442",9.6773475,45.7065385
"443",9.685767,45.6953292
"444",9.6860516,45.6960124
"445",9.6827452,45.7009943
"446",9.6828448,45.7009335
"447",9.6840117,45.6998351
"448",9.6844027,45.699115
"449",9.6848633,45.7013854
"450",9.6855465,45.7012989
"451",9.6630387,45.7067836
"452",9.6631058,45.7068077
"453",9.6643153,45.7064013
"454",9.6630736,45.7066585
"455",9.6856694,45.7051705
"456",9.6850373,45.7047249
"457",9.6841323,45.7040871
"458",9.6837746,45.703835
"459",9.6833888,45.7035631
