"","V1"
"222",0.40944249072229
"223",0.398850726158056
"224",0.395090874259188
"225",0.563111490611105
"226",0.569758555331358
"227",0.595609052054624
"228",0.692628002292663
"229",0.676911755919003
"230",0.600694216302667
"231",0.645210241882629
"232",0.486218735930908
"233",0.557880389558065
"234",0.565763365420899
"235",0.558422778436488
"236",0.471779650346159
"237",0.471116465387099
"238",0.75890389325935
"239",0.811727840947107
"240",0.867915575621386
"241",0.634686904616392
"242",0.647142533552629
"243",0.603697195521929
"244",0.557445094560905
"245",0.800255427348439
"246",0.776188095547271
"247",0.663582842736221
"248",0.602918334421017
"249",0.485064396651291
"250",0.434546590164374
"251",0.590208869944177
"252",0.515621489591696
"253",0.9884262862542
"254",1.02741741076029
"255",0.890793334087775
"256",0.910549772996112
"257",0.915904312930385
"258",0.432171393812324
"259",0.43422793460962
"260",0.547724773838445
"261",0.598906944976938
"262",0.514170462820239
"263",0.407204929192751
"264",0.478786365708609
"265",0.504426044393515
"266",0.883959293456517
"267",1.06806163224504
"268",1.03326208182431
"269",1.02031439964767
"270",0.975610391935098
"271",1.00575383188692
"272",0.78823082452241
"273",0.87375258461293
"274",1.09947628002223
"275",1.18536270444519
"276",0.218606595620806
"277",0.233828092464965
"278",0.357022001291424
"279",0.320797623368886
"280",0.34254174767181
"281",0.324418147338571
"282",0.323941500654912
"283",0.257962361274439
"284",0.247211468171551
"285",0.25006497733276
"286",0.25613834622884
"287",0.91951672101298
"288",0.999076639080703
"289",0.727788033025878
"290",0.780899306385975
"291",0.513495279637784
"292",0.553708997711652
"293",0.606121824463471
"294",0.661227803825123
"295",0.545812265254872
"296",0.494112425880174
"297",0.493141364685551
"298",0.52832990437127
"299",0.54092258625056
"300",0.425273313457167
"301",0.427045128115521
"302",0.399473359489735
"303",0.469715547478926
"304",0.471375405913312
"305",0.482413637938541
"306",0.484522170130119
"307",0.461700176715538
"308",0.555380456013025
"309",0.495894113507602
"310",0.380439697048734
"311",0.362637404318519
"312",0.485500141174848
"313",0.475193651736096
"314",0.514736734457775
"315",0.578033270141568
"316",0.529300990625998
"317",0.678700746325088
"318",0.649066028309554
"319",0.657854744935342
"320",0.677139517094665
"321",0.561070345125499
"322",0.542954715070334
"323",0.526085793953084
"324",1.52191505859287
"325",0.10056908807651
"326",0.101443610481253
"327",0.0983878711869326
